"","log2FC","P.Value","adj.P.Val","Expression"
"ENSG00000133124",6.22947352835472,1.80807679134362e-28,9.09462626045842e-26,7.01522167269123
"ENSG00000149972",4.90811750936698,1.26612584245916e-27,3.1843064937848e-25,8.16089340190759
"ENSG00000257966",4.26866178542178,4.47030303500497e-26,7.49520808869167e-24,10.2785356965238
"ENSG00000166188",-7.01961195171447,1.53701610860432e-24,1.80557692418301e-22,7.8015766006402
"ENSG00000258700",-5.48899904554883,1.79480807572864e-24,1.80557692418301e-22,9.88306097867596
"ENSG00000272375",10.9119324451228,8.62376216622668e-24,7.2295872826867e-22,8.99240416390028
"ENSG00000124564",7.11184484704324,1.37693392500466e-23,9.89425377539063e-22,8.38207938350766
"ENSG00000145384",7.14532377525928,2.13266231779751e-23,1.34091143231519e-21,7.33074395802426
"ENSG00000188770",6.28270464055871,3.95209020227557e-23,2.13930546606322e-21,8.48514900708411
"ENSG00000198740",-7.59374679042042,4.25309237785929e-23,2.13930546606322e-21,8.92216419809497
"ENSG00000214100",-5.07459538961747,8.33118428367289e-23,3.80962335880679e-21,7.96294382105899
"ENSG00000203999",-6.28906702642438,9.99238495502488e-23,4.18847469364793e-21,7.55329206759462
"ENSG00000253810",9.34398119947529,1.27335348170444e-22,4.92689847151795e-21,7.17225570430707
"ENSG00000223500",-9.87340497468425,1.83152368631336e-22,6.58040295868302e-21,9.44367140828421
"ENSG00000253159",5.07344275862484,5.90995627653394e-22,1.91211005647463e-20,9.72122612951496
"ENSG00000230680",10.4548187921946,6.08225862894515e-22,1.91211005647463e-20,8.57368945449113
"ENSG00000241246",-8.6263619953149,4.09609174416811e-21,1.21196126312739e-19,7.07087692777954
"ENSG00000228358",8.21355526190789,6.39905658892797e-21,1.78818081346154e-19,3.40275166549435
"ENSG00000235750",9.07200593048365,8.72824711683835e-21,2.31068857882615e-19,9.01730627128758
"ENSG00000213213",5.11824495772016,1.10098229432067e-20,2.76897047021648e-19,7.81738703456943
"ENSG00000253311",3.09878401192168,1.17519175577782e-20,2.79798912944452e-19,10.6837221736639
"ENSG00000141338",3.99124894718413,1.22377258146679e-20,2.79798912944452e-19,11.0603134992287
"ENSG00000182247",9.56175684203898,1.46371556655809e-20,3.20108230425531e-19,7.95629367760586
"ENSG00000137831",6.06148181744569,1.61853426136174e-20,3.31251011460306e-19,10.8982998913173
"ENSG00000227827",7.43378583822654,1.6463767965224e-20,3.31251011460306e-19,6.7830613868649
"ENSG00000200361",-11.3341452003751,2.4197200691894e-20,4.68122767231641e-19,7.30586752714209
