"","log2FC","P.Value","adj.P.Val","Expression"
"ENSG00000253311",7.36481216257917,6.81581921494924e-29,3.42835706511947e-26,10.6837221736639
"ENSG00000133124",8.6114225237957,6.34321044943265e-28,9.03617351698973e-26,7.01522167269123
"ENSG00000054267",-9.30957873325394,6.73037420904277e-28,9.03617351698973e-26,9.45181660305119
"ENSG00000149972",7.49510869117,7.18582387036957e-28,9.03617351698973e-26,8.16089340190759
"ENSG00000257966",4.32428855446653,3.07566368947616e-26,3.09411767161302e-24,10.2785356965238
"ENSG00000228495",-9.99642478416775,1.78100288399521e-25,1.49307408441598e-23,7.99280014448973
"ENSG00000180909",9.47225817716796,2.57725839376639e-25,1.85194424580642e-23,9.39299293936139
"ENSG00000251191",7.34563360214375,5.65063080039099e-24,3.55283411574583e-22,8.34775754774862
"ENSG00000251087",5.61887236769465,7.05103303689585e-24,3.94074401950957e-22,8.2834648546677
"ENSG00000230818",-5.35692844749484,1.40621598075515e-23,7.07326638319839e-22,8.84309478884362
"ENSG00000280352",-5.6637336878926,2.92814349996125e-23,1.21488465155353e-21,10.1007854943662
"ENSG00000132000",4.39071570816133,3.12246402848076e-23,1.21488465155353e-21,9.58193269539646
"ENSG00000166002",6.16649113753626,3.13986092846838e-23,1.21488465155353e-21,10.3608436227934
"ENSG00000184260",-6.09246739495539,5.78244431985989e-23,2.07754963777823e-21,7.60344377427532
"ENSG00000274642",-3.87498190288635,7.74797520933035e-23,2.59815435352878e-21,8.65599946646676
"ENSG00000278492",-6.49449282224986,1.12474979885031e-22,3.42689547388082e-21,7.34885248763817
"ENSG00000135447",7.89551559869325,1.20241626035113e-22,3.42689547388082e-21,9.77176081365657
"ENSG00000272375",5.0477855004722,1.22632442405278e-22,3.42689547388082e-21,8.99240416390028
"ENSG00000253810",6.05918348547786,1.5510352418852e-22,4.10616171930661e-21,7.17225570430707
"ENSG00000124564",4.02789943126879,2.4852551268782e-22,6.25041664409867e-21,8.38207938350766
"ENSG00000232579",-7.57987282269825,3.00679546611185e-22,7.20199104502029e-21,8.72096965999055
"ENSG00000253159",9.79451004964688,4.24674242376868e-22,9.70959745070749e-21,9.72122612951496
"ENSG00000283611",-15.5899800611063,5.28290484398676e-22,1.11780600274265e-20,7.41435655813611
"ENSG00000230680",9.74033158486642,5.33346800513391e-22,1.11780600274265e-20,8.57368945449113
"ENSG00000119969",4.05649607122553,6.58967153232313e-22,1.32584191230341e-20,10.866908569597
"ENSG00000173402",-9.64490283717123,8.64831247148955e-22,1.67311583583048e-20,7.85497808176114
"ENSG00000188770",12.1446855806207,1.94731692002255e-21,3.57452688805341e-20,8.48514900708411
