"","log2FC","P.Value","adj.P.Val","Expression"
"ENSG00000253311",7.55646852570783,1.13301757091759e-28,5.69907838171547e-26,10.6837221736639
"ENSG00000133124",8.90040718426808,9.75087969827766e-28,2.11793398464597e-25,7.01522167269123
"ENSG00000149972",5.10967507842639,1.26318130296976e-27,2.11793398464597e-25,8.16089340190759
"ENSG00000249082",-7.48431454286102,1.13860929844826e-26,1.43180119279869e-24,9.32072709764066
"ENSG00000177565",-6.76964828928634,1.15909677371001e-25,1.10089125077427e-23,8.44633948208667
"ENSG00000270828",-6.68335723607239,1.31319035877646e-25,1.10089125077427e-23,9.01002798412256
"ENSG00000226864",-11.976323808806,6.63028308269313e-25,4.76433198656378e-23,9.71785220439417
"ENSG00000250650",-11.504734782922,3.13220990083862e-24,1.8536901924284e-22,8.61642710015754
"ENSG00000166188",-6.89533884293689,3.31674189500111e-24,1.8536901924284e-22,7.8015766006402
"ENSG00000132000",7.62352778166046,4.99652227354956e-24,2.51325070359543e-22,9.58193269539646
"ENSG00000272375",10.7270316210767,7.2426341944009e-24,3.31185909071241e-22,8.99240416390028
"ENSG00000251087",6.58186174117019,8.79409664722408e-24,3.68619217796143e-22,8.2834648546677
"ENSG00000198740",-7.71979162903441,2.49243061051435e-23,9.64378920837474e-22,8.92216419809497
"ENSG00000188770",8.72488259119664,5.0011885031717e-23,1.79685558363955e-21,8.48514900708411
"ENSG00000228358",13.7523506267119,1.09879135915986e-22,3.51867566921313e-21,3.40275166549435
"ENSG00000251191",12.3818819364511,1.11926065024672e-22,3.51867566921313e-21,8.34775754774862
"ENSG00000264662",7.40779693306456,1.680553195257e-22,4.97246033655453e-21,8.3472417727288
"ENSG00000253810",5.88736556270484,2.63006803043369e-22,7.34957899615637e-21,7.17225570430707
"ENSG00000054267",-6.33049090805472,3.16334311017702e-22,8.37453465483706e-21,9.45181660305119
"ENSG00000235750",7.18042651465383,7.81595938801655e-22,1.96571378608616e-20,9.01730627128758
"ENSG00000205745",-7.3241379693154,8.25282770791197e-22,1.97674873194272e-20,7.86079023160504
"ENSG00000215068",8.45699492538189,1.17557596650669e-21,2.68779414160393e-20,7.7272089598907
"ENSG00000145384",4.83173496439729,1.42862339484953e-21,3.12433725047528e-20,7.33074395802426
